State,Year,taxRate,incentive,evregister,totalregister,avgIncome,popDensity
Maine,2018,30,1,800,390506,63295,
Maryland,2018,35,1,8400,1922463,93031,
Massachusets,2018,24,1,10300,2182530,93163,
Michigan,2018,26,1,4200,3023940,65222,
Minnesota,2018,28.5,1,4900,1976525,77488,
Mississippi,2018,18,0,300,825338,46159,
Missouri,2018,17,0,3500,2102216,66600,
Montana,2018,32,1,500,452845,62233,
Nebraska,2018,28.9,0,900,683020,72911,
Nevada,2018,24,1,5100,1073760,66749,
New Hampshire,2018,24,1,1200,506959,87769,
New Jersey,2018,37,1,13400,2754253,80033,
New Mexico,2018,17,1,1300,655766,52096,
New York,2018,25,1,15500,4712779,72586,
North Carolina,2018,35,0,7300,3393781,57583,
North Dakota,2018,23,0,100,240048,71756,
Ohio,2018,28,0,6400,4603594,66500,
Oklahoma,2018,20,0,3700,1296219,58732,
Oregon,2018,34,1,13800,1488623,74626,
Pennsylvania,2018,58,1,8000,4424183,69619,
Rhode Island,2018,34,1,700,412255,67183,
South Carolina,2018,20,1,2000,1830186,61980,
South Dakota,2018,30,0,200,358859,64158,
Tennessee,2018,25,1,3900,2285329,60487,
Texas,2018,20,1,24500,8248322,64506,
Utah,2018,29,1,5600,937421,83152,
Vermont,2018,30,1,1100,218302,75599,
Virginia,2018,16,1,9900,3267735,83243,
Washington,2018,49.4,1,30200,2964939,86021,
West Virginia,2018,35.7,0,200,560118,54566,
Wisconsin,2018,30.9,0,3700,2087518,67574,
Wyoming,2018,24,0,200,203546,67477,
Alabama,2019,26,1,2000,2109108.341,59558,
Alaska,2019,8,1,700,178516.214,83079,
Arizona,2019,18,1,19500,2405958.662,74897,
Arkansas,2019,24.8,0,900,886646.8753,57799,
California,2019,47,1,349700,14894912.07,82772,
Colorado,2019,22,1,19200,1741218.368,76832,
Connecticut,2019,25,1,6900,1260953.975,92507,
Deleware,2019,23,1,1300,423462.2548,78628,
District of Columbia,2019,24,1,1800,203770.8243,98675,
Florida,2019,37,1,40300,7841189.023,61856,
Georgia,2019,28,0,19000,3499520.367,60012,
Hawaii,2019,16,1,8800,498991.8028,93265,
Idaho,2019,33,1,1600,602170.1209,69932,
Illinois,2019,39,1,19300,4322849.885,78845,
Indiana,2019,31,1,5100,2185979.281,70679,
Iowa,2019,31.5,1,1600,1221843.307,70002,
Kansas,2019,24,0,2300,947147.7431,77523,
Kentucky,2019,25,0,1900,1669167.391,58989,
Lousiana,2019,20,1,1400,1349719.661,54797,
