Date,Crude Oil
6-Nov-87,869362
13-Nov-87,871678
20-Nov-87,875509
27-Nov-87,873521
4-Dec-87,875851
11-Dec-87,877201
18-Dec-87,879721
25-Dec-87,879336
1-Jan-88,874314
8-Jan-88,861844
15-Jan-88,862053
22-Jan-88,861245
29-Jan-88,858440
5-Feb-88,859847
12-Feb-88,855598
19-Feb-88,864088
26-Feb-88,867717
4-Mar-88,869420
11-Mar-88,869831
18-Mar-88,873580
25-Mar-88,872216
1-Apr-88,873464
8-Apr-88,879484
15-Apr-88,879480
22-Apr-88,884261
29-Apr-88,881732
6-May-88,887593
13-May-88,890802
20-May-88,892721
27-May-88,888805
3-Jun-88,890957
10-Jun-88,889280
17-Jun-88,893477
24-Jun-88,891199
1-Jul-88,892007
8-Jul-88,890187
15-Jul-88,885007
22-Jul-88,881794
29-Jul-88,883710
5-Aug-88,881982
12-Aug-88,879618
19-Aug-88,874852
26-Aug-88,870652
2-Sep-88,865685
9-Sep-88,864719
16-Sep-88,858179
23-Sep-88,853974
30-Sep-88,860182
7-Oct-88,859596
14-Oct-88,865096
21-Oct-88,870245
28-Oct-88,872404
4-Nov-88,878098
11-Nov-88,875519
18-Nov-88,884503
25-Nov-88,880588
2-Dec-88,878419
9-Dec-88,882921
16-Dec-88,878157
23-Dec-88,873932
30-Dec-88,873167
6-Jan-89,865484
13-Jan-89,863426
20-Jan-89,867699
27-Jan-89,868194
3-Feb-89,875807
10-Feb-89,867901
17-Feb-89,869093
24-Feb-89,868629
3-Mar-89,878921
10-Mar-89,878057
17-Mar-89,883938
24-Mar-89,883413
31-Mar-89,873367
7-Apr-89,872737
14-Apr-89,868793
21-Apr-89,879185
28-Apr-89,883997
5-May-89,895047
12-May-89,897795
19-May-89,891310
26-May-89,889909
2-Jun-89,895289
9-Jun-89,892553
16-Jun-89,890135
23-Jun-89,893650
30-Jun-89,887176
7-Jul-89,887810
14-Jul-89,886281
21-Jul-89,885624
28-Jul-89,887725
4-Aug-89,887592
11-Aug-89,884553
18-Aug-89,893519
25-Aug-89,892770
1-Sep-89,893339
8-Sep-89,896173
15-Sep-89,885661
22-Sep-89,887135
29-Sep-89,890249
6-Oct-89,895525
13-Oct-89,901350
20-Oct-89,894932
27-Oct-89,900068
3-Nov-89,898681
10-Nov-89,906613
17-Nov-89,906781
24-Nov-89,903612
1-Dec-89,911872
8-Dec-89,902906
15-Dec-89,907860
22-Dec-89,905214
29-Dec-89,904134
5-Jan-90,904076
12-Jan-90,908047
19-Jan-90,906401
26-Jan-90,904351
2-Feb-90,914727
9-Feb-90,910241
16-Feb-90,907794
23-Feb-90,903218
2-Mar-90,906741
9-Mar-90,913559
16-Mar-90,912113
23-Mar-90,921348
30-Mar-90,924282
6-Apr-90,932221
13-Apr-90,933138
20-Apr-90,931578
27-Apr-90,936163
4-May-90,936904
11-May-90,942503
18-May-90,947177
25-May-90,948900
1-Jun-90,951799
8-Jun-90,953667
15-Jun-90,953182
22-Jun-90,953885
29-Jun-90,955394
6-Jul-90,952344
13-Jul-90,956879
20-Jul-90,954702
27-Jul-90,959271
3-Aug-90,951525
10-Aug-90,946681
17-Aug-90,947535
24-Aug-90,950649
31-Aug-90,946333
7-Sep-90,949206
14-Sep-90,943559
21-Sep-90,937834
28-Sep-90,928007
5-Oct-90,925894
12-Oct-90,918375
19-Oct-90,915615
26-Oct-90,916857
2-Nov-90,920758
9-Nov-90,921253
16-Nov-90,915231
23-Nov-90,911584
30-Nov-90,913758
7-Dec-90,907428
14-Dec-90,905846
21-Dec-90,907684
28-Dec-90,901612
4-Jan-91,893234
11-Jan-91,894131
18-Jan-91,892742
25-Jan-91,892735
1-Feb-91,895841
8-Feb-91,896124
15-Feb-91,900784
22-Feb-91,899428
1-Mar-91,897522
8-Mar-91,892038
15-Mar-91,895651
22-Mar-91,893991
29-Mar-91,897685
5-Apr-91,889746
12-Apr-91,894244
19-Apr-91,891158
26-Apr-91,896702
3-May-91,892623
10-May-91,892389
17-May-91,898381
24-May-91,897808
31-May-91,904685
7-Jun-91,905491
14-Jun-91,906290
21-Jun-91,904911
28-Jun-91,901859
5-Jul-91,903062
12-Jul-91,902012
19-Jul-91,900227
26-Jul-91,896458
2-Aug-91,897147
9-Aug-91,898861
16-Aug-91,896942
23-Aug-91,902246
30-Aug-91,904148
6-Sep-91,894389
13-Sep-91,887822
20-Sep-91,887953
27-Sep-91,892660
4-Oct-91,891572
11-Oct-91,894905
18-Oct-91,892445
25-Oct-91,901266
1-Nov-91,895148
8-Nov-91,898963
15-Nov-91,904101
22-Nov-91,898093
29-Nov-91,892636
6-Dec-91,897629
13-Dec-91,891591
20-Dec-91,887439
27-Dec-91,877359
3-Jan-92,883325
10-Jan-92,886822
17-Jan-92,885646
24-Jan-92,891317
31-Jan-92,886901
7-Feb-92,886715
14-Feb-92,884910
21-Feb-92,888085
28-Feb-92,895106
6-Mar-92,901404
13-Mar-92,895959
20-Mar-92,899490
27-Mar-92,893970
3-Apr-92,890369
10-Apr-92,898825
17-Apr-92,901631
24-Apr-92,902433
1-May-92,903887
8-May-92,903227
15-May-92,904522
22-May-92,899933
29-May-92,897287
5-Jun-92,898109
12-Jun-92,898908
19-Jun-92,892607
26-Jun-92,882710
3-Jul-92,881717
10-Jul-92,884380
17-Jul-92,878013
24-Jul-92,877987
31-Jul-92,883778
7-Aug-92,882007
14-Aug-92,881014
21-Aug-92,885873
28-Aug-92,878737
4-Sep-92,880886
11-Sep-92,880433
18-Sep-92,881269
25-Sep-92,876535
2-Oct-92,880511
9-Oct-92,879730
16-Oct-92,883838
23-Oct-92,884863
30-Oct-92,888470
6-Nov-92,882153
13-Nov-92,875112
20-Nov-92,880930
27-Nov-92,882477
4-Dec-92,881426
11-Dec-92,887200
18-Dec-92,887235
25-Dec-92,875615
1-Jan-93,876611
8-Jan-93,874064
15-Jan-93,882249
22-Jan-93,881251
29-Jan-93,883355
5-Feb-93,887030
12-Feb-93,893719
19-Feb-93,883668
26-Feb-93,891690
5-Mar-93,897703
12-Mar-93,903521
19-Mar-93,891156
26-Mar-93,899598
2-Apr-93,900495
9-Apr-93,913006
16-Apr-93,903746
23-Apr-93,906088
30-Apr-93,910430
7-May-93,911324
14-May-93,916789
21-May-93,920155
28-May-93,916420
4-Jun-93,914807
11-Jun-93,906891
18-Jun-93,916450
25-Jun-93,922740
2-Jul-93,914521
9-Jul-93,918171
16-Jul-93,926522
23-Jul-93,920995
30-Jul-93,916578
6-Aug-93,917991
13-Aug-93,913740
20-Aug-93,909179
27-Aug-93,910619
3-Sep-93,904586
10-Sep-93,905908
17-Sep-93,906793
24-Sep-93,897592
1-Oct-93,895578
8-Oct-93,899907
15-Oct-93,895285
22-Oct-93,902793
29-Oct-93,904663
5-Nov-93,901318
12-Nov-93,906498
19-Nov-93,901306
26-Nov-93,902758
3-Dec-93,908302
10-Dec-93,914631
17-Dec-93,917131
24-Dec-93,916963
31-Dec-93,910560
7-Jan-94,903673
14-Jan-94,903479
21-Jan-94,898067
28-Jan-94,901175
4-Feb-94,905029
11-Feb-94,900674
18-Feb-94,903702
25-Feb-94,896520
4-Mar-94,904138
11-Mar-94,899062
18-Mar-94,912941
25-Mar-94,907810
1-Apr-94,907886
8-Apr-94,909488
15-Apr-94,912342
22-Apr-94,912420
29-Apr-94,913330
6-May-94,907637
13-May-94,906693
20-May-94,908347
27-May-94,907253
3-Jun-94,902769
10-Jun-94,899965
17-Jun-94,898398
24-Jun-94,901877
1-Jul-94,902820
8-Jul-94,903485
15-Jul-94,906667
22-Jul-94,909925
29-Jul-94,904073
5-Aug-94,901556
12-Aug-94,904670
19-Aug-94,901834
26-Aug-94,899390
2-Sep-94,899205
9-Sep-94,898945
16-Sep-94,900400
23-Sep-94,906295
30-Sep-94,909566
7-Oct-94,908634
14-Oct-94,913075
21-Oct-94,911246
28-Oct-94,920581
4-Nov-94,919593
11-Nov-94,918863
18-Nov-94,915885
25-Nov-94,913413
2-Dec-94,913367
9-Dec-94,911878
16-Dec-94,911223
23-Dec-94,911909
30-Dec-94,904519
6-Jan-95,906233
13-Jan-95,904948
20-Jan-95,898534
27-Jan-95,898253
3-Feb-95,901480
10-Feb-95,895147
17-Feb-95,902510
24-Feb-95,896939
3-Mar-95,899905
10-Mar-95,900392
17-Mar-95,900931
24-Mar-95,904981
31-Mar-95,912742
7-Apr-95,909938
14-Apr-95,911122
21-Apr-95,914145
28-Apr-95,910037
5-May-95,908116
12-May-95,908938
19-May-95,904789
26-May-95,901770
2-Jun-95,899614
9-Jun-95,899059
16-Jun-95,898570
23-Jun-95,891103
30-Jun-95,894829
7-Jul-95,893654
14-Jul-95,893637
21-Jul-95,886757
28-Jul-95,889706
4-Aug-95,882865
11-Aug-95,885340
18-Aug-95,877950
25-Aug-95,880903
1-Sep-95,888324
8-Sep-95,883722
15-Sep-95,882818
22-Sep-95,882268
29-Sep-95,877213
6-Oct-95,872829
13-Oct-95,872804
20-Oct-95,874975
27-Oct-95,876499
3-Nov-95,879790
10-Nov-95,878159
17-Nov-95,887768
24-Nov-95,893847
1-Dec-95,890735
8-Dec-95,886475
15-Dec-95,892325
22-Dec-95,886465
29-Dec-95,876239
5-Jan-96,877271
12-Jan-96,880191
19-Jan-96,884469
26-Jan-96,882724
2-Feb-96,880314
9-Feb-96,878080
16-Feb-96,875010
23-Feb-96,875353
1-Mar-96,872078
8-Mar-96,880303
15-Mar-96,875021
22-Mar-96,873804
29-Mar-96,869246
5-Apr-96,871553
12-Apr-96,871467
19-Apr-96,866788
26-Apr-96,865917
3-May-96,873097
10-May-96,871395
17-May-96,866935
24-May-96,868063
